sentimiento,review_es
Negativo,Estás completamente equivocado.
Negativo,Deberías dejar de hablar, no aportas nada.
Negativo,Eres una decepción para todos.
Negativo,Tu actitud es insoportable.
Negativo,No tienes ni idea de lo que estás haciendo.
Negativo,Eres un completo desastre.
Negativo,Nunca haces nada bien.
Negativo,Mejor quédate callado, no quieres hacer el ridículo.
Negativo,Tu presencia arruina todo.
Negativo,Deberías renunciar, no eres apto para esto.
Negativo,Eres una pérdida de tiempo y recursos.
Negativo,Tu incompetencia es asombrosa.
Negativo,Deberías estar avergonzado de ti mismo.
Negativo,Tu falta de habilidad es vergonzosa.
Negativo,Es imposible trabajar contigo.
Negativo,Eres un estorbo para todos.
Negativo,Realmente no me importa lo que piensas.
Negativo,No entiendo cómo puedes ser tan inútil.
Negativo,Eres un completo desperdicio de espacio.
Negativo,Estás destinado al fracaso.
Positivo,Eres increíblemente talentoso.
Positivo,Lograste un trabajo excepcional.
Positivo,Tu creatividad es asombrosa.
Positivo,Eres una inspiración para todos.
Positivo,Tu dedicación es admirable.
Positivo,Has demostrado ser muy capaz.
Positivo,Eres una persona maravillosa.
Positivo,Tu positividad es contagiosa.
Positivo,Siempre das lo mejor de ti.
Positivo,Tu presencia ilumina cualquier lugar.
Positivo,Tu amabilidad no tiene límites.
Positivo,Tus esfuerzos nunca pasan desapercibidos.
Positivo,Eres un colaborador excepcional.
Positivo,Tu trabajo es excepcional.
Positivo,Eres un líder nato.
Positivo,Tu optimismo es refrescante.
Positivo,Siempre cumples tus compromisos.
Positivo,Eres un valioso miembro del equipo.
Positivo,Tu perseverancia es digna de admiración.
Positivo,Tu capacidad para superar desafíos es impresionante.
Negativo,Eres un aweonao.
Negativo,Callate conchetumare.
Negativo,sos un Boludo.
Negativo,hijo de puta.
Negativo,chupala.
Negativo,Chupa la callampa.
Negativo,Down de mierda.
Negativo,Mal ser humano.
Negativo,Rata.
Negativo,Maricon culiao.
Negativo,eres un desgraciado y miserable.
Negativo,Te voy a matar.
Negativo,hijo de perra.
Negativo,chupala.
Negativo,Chupa la callampa.
Negativo,Eres un imbecil.
Negativo,Aweonao culiao.
Negativo,Chuchetumare.
Negativo,xuxetumare.
Negativo,chupala.
Negativo,Chupa la callampa.
Negativo,Down de mierda.
Negativo,Mamabicho.
Negativo,Eres un negro.
Negativo,Eres un Asqueroso.
Negativo,Eres una zorra maldita
Positivo,Eres tan lindo
Positivo,Eres tan linda
Positivo,Eres mi amigo
Positivo,Eres mi amiga
Positivo,Eres una persona increíblemente talentosa.
Positivo,Tu positividad ilumina cualquier habitación.
Positivo,Excelente trabajo, sigue así.
Positivo,Tu esfuerzo y dedicación son inspiradores.
Positivo,Eres una fuente constante de motivación para los demás.
Positivo,Tu amabilidad hace del mundo un lugar mejor.
Positivo,Se nota que te esfuerzas y siempre das lo mejor de ti.
Positivo,Tienes un corazón generoso y bondadoso.
Positivo,Tu optimismo es contagioso.
Positivo,Logras cosas maravillosas con tu actitud positiva.
Positivo,Eres una persona increíblemente amable y compasiva.
Positivo,Tu valentía y determinación son ejemplares.
Positivo,Tu creatividad y originalidad son admirables.
Positivo,Eres un amigo leal y confiable.
Positivo,Has logrado tanto y aún tienes un futuro brillante por delante.
Positivo,Tus logros son impresionantes, sigue alcanzando nuevas alturas.
Positivo,La calidad de tu trabajo siempre supera las expectativas.
Positivo,Tu energía positiva es una fuerza poderosa.
Positivo,Tu contribución hace del mundo un lugar más positivo.
Positivo,Necesito ayuda.
Positivo,Hoy tuve un día increíblemente productivo.
Negativo,No soporto la actitud negativa de algunas personas.
Positivo,La cena casera de mamá siempre es deliciosa.
Negativo,Eres completamente inútil.
Positivo,Eres una persona increíblemente talentosa y valiosa.
Negativo,No sirves para nada.
Positivo,Tu amabilidad y generosidad hacen del mundo un lugar mejor.
Negativo,Eres tan estúpido.
Positivo,Admiro tu inteligencia y perspicacia.
Negativo,Nunca haces nada bien.
Positivo,Tu dedicación y esfuerzo son inspiradores.
Negativo,Eres un completo desastre.
Positivo,Tus habilidades son impresionantes.
Negativo,No tienes ningún talento.
Positivo,Eres una fuente constante de inspiración.
Negativo,Eres tan molesto.
Positivo,Tu positividad ilumina cualquier habitación.
Negativo,No hay nada bueno en ti.
Positivo,Eres una persona increíblemente amable.
Negativo,Nunca logras nada.
Positivo,Tu perseverancia es admirable.
Negativo,Eres patético.
Positivo,Tus logros son dignos de reconocimiento.
Negativo,Odio tu actitud.
Positivo,Tu actitud positiva es contagiosa.
Negativo,Te detesto.
Positivo,Eres una persona maravillosa.
Negativo,Nadie te quiere.
Positivo,Tu amabilidad toca el corazón de todos.
Positivo,Hoy tuve un día increíblemente productivo.
Negativo,No soporto la actitud negativa de algunas personas.
Positivo,La cena casera de mamá siempre es deliciosa.
Negativo,Me siento agotado después de un día tan largo.
Positivo,Disfruté mucho la película que vi anoche.
Negativo,El tráfico en esta ciudad es simplemente insoportable.
Positivo,Estoy emocionado por mi próximo viaje de vacaciones.
Negativo,La calidad del servicio en este restaurante es muy baja.
Positivo,Conocí a alguien muy interesante hoy.
Negativo,Perdí las llaves y ahora no puedo entrar a casa.
Positivo,¡Las vacaciones en la playa fueron fenomenales!
Negativo,Odio tener que madrugar para ir al trabajo.
Positivo,Me encanta pasar tiempo con mi familia los domingos.
Negativo,La película que elegimos ver resultó ser aburrida.
Positivo,Recibí un regalo sorpresa que me hizo sonreír.
Negativo,La actitud de mi jefe hace que el trabajo sea estresante.
Positivo,Tuve una conversación inspiradora con un amigo.
Negativo,El clima arruinó nuestro plan de picnic.
Positivo,Hoy logré superar un desafío personal.
Negativo,La espera en la fila del supermercado fue interminable.
Positivo,Estoy agradecido por las pequeñas alegrías de la vida.
Negativo,Me decepcionó la calidad de este producto.
Positivo,La música siempre alegra mi día.
Negativo,Perdí el autobús y llegué tarde al trabajo.
Positivo,Disfruté de una tarde relajante leyendo un buen libro.
Negativo,La actitud pesimista de algunos colegas me afecta.
Positivo,Hoy recibí buenas noticias que me llenaron de alegría.
Negativo,El ruido constante en mi vecindario es molesto.
Positivo,Logré mis metas fitness para este mes.
Negativo,La comida del restaurante era insípida y cara.
Positivo,La reunión con viejos amigos fue muy divertida.
Negativo,Me siento frustrado por no encontrar las llaves.
Positivo,El amanecer de hoy fue simplemente hermoso.
Negativo,No puedo soportar el sonido del despertador por la mañana.
Positivo,Me encanta aprender cosas nuevas cada día.
Negativo,La película de anoche me dejó decepcionado.
Positivo,Recibí un cumplido que hizo mi día.
Negativo,La falta de organización en el evento fue evidente.
Positivo,Hoy es un día soleado perfecto para salir.
Negativo,El servicio al cliente de esta empresa es ineficiente.
Positivo,Comí mi comida favorita para el almuerzo.
Negativo,No puedo concentrarme con tanto ruido en la oficina.
Positivo,Estoy emocionado por las oportunidades que se avecinan.
Negativo,El mal tiempo arruinó nuestro plan de excursión.
Positivo,Conocí a alguien que comparte mis intereses.
Negativo,Me sentí desanimado por los comentarios negativos.
Positivo,Disfruté de una tarde tranquila en el parque.
Negativo,No me gusta la actitud arrogante de ciertas personas.
Positivo,Tuve una conversación inspiradora con un desconocido.
Negativo,Perdí el vuelo y arruinó mis planes de viaje.
Positivo,Recibí un regalo significativo de un ser querido.
Negativo,La actitud impuntual de mi amigo me irrita.
Positivo,Hoy es un buen día para comenzar algo nuevo.
Negativo,El servicio en el restaurante fue lento y descuidado.
Positivo,La visita sorpresa de un amigo hizo mi día.
Negativo,No puedo soportar la falta de consideración de algunos.
Positivo,Estoy emocionado por las nuevas oportunidades laborales.
Negativo,La película que vi anoche fue un desperdicio de tiempo.
Positivo,El aroma del café recién hecho me pone de buen humor.
Negativo,La incompetencia del servicio técnico es frustrante.
Positivo,Hoy logré completar todas mis tareas a tiempo.
Negativo,La actitud pesimista de mi compañero de trabajo es molesta.
Positivo,Recibí un cumplido inesperado que me hizo sonreír.
Negativo,No me gusta el sabor de esta nueva bebida.
Positivo,La lluvia cesó y pude salir a dar un paseo.
Negativo,La falta de honestidad me decepciona.
Positivo,Estoy agradecido por la bondad de los demás.
Negativo,La comida del restaurante estaba fría y mal preparada.
Positivo,La reunión con amigos fue muy divertida y animada.
Negativo,Me siento frustrado por la falta de comunicación.
Positivo,Tuve un día productivo y logré mucho.
Negativo,La actitud grosera del conductor arruinó mi viaje en taxi.
Positivo,Hoy disfruté de una deliciosa comida casera.
Negativo,No soporto las largas esperas en el consultorio médico.
Positivo,Recibí noticias emocionantes sobre un proyecto.
Negativo,La incompetencia del servicio al cliente me enfurece.
Positivo,La risa contagiosa de un niño hizo mi día.
Negativo,El mal servicio en el restaurante arruinó la cena.
Positivo,Conocí a alguien muy inspirador en el evento.
Negativo,No me gusta la actitud desconsiderada de algunos.
Positivo,Disfruté de un día relajado en casa.
Negativo,El tráfico lento me hace llegar tarde.
Positivo,Hoy logré superar un desafío personal.
Negativo,La falta de atención al detalle es molesta.
Positivo,Recibí elogios por mi trabajo en equipo.
Negativo,La actitud negativa del compañero de trabajo es molesta.
Positivo,Tuve una experiencia increíble en el concierto.
Negativo,La cancelación del evento fue decepcionante.
Positivo,Me sentí inspirado por un libro que leí.
Negativo,El error en la factura causó problemas.
Positivo,La ayuda desinteresada de un amigo fue invaluable.
Negativo,La falta de profesionalismo en el servicio es irritante.
Positivo,Disfruté de un día soleado en el parque.
Negativo,La espera prolongada me hizo perder tiempo.
Positivo,Recibí un regalo sorpresa que me alegró el día.
Negativo,La actitud grosera del vendedor me molestó.
Positivo,Tuve una conversación estimulante con un colega.
Negativo,No me gustó el final de la película.
Positivo,Hoy logré mis metas de acondicionamiento físico.
Negativo,La falta de cortesía en la atención al cliente es frustrante.
Positivo,La comida en el nuevo restaurante era deliciosa.
Negativo,La falta de ética en el trabajo me decepciona.
Positivo,Disfruté de una noche divertida con amigos.
Negativo,La falta de compromiso en el proyecto es preocupante.
Positivo,Recibí un cumplido inesperado que me hizo sonreír.
Negativo,La actitud condescendiente de ciertas personas me irrita.
Positivo,Hoy fue un día muy productivo en el trabajo.
Negativo,La falta de sinceridad en la comunicación es molesta.
Positivo,La visita sorpresa de un ser querido hizo mi día.
Negativo,No me gusta la falta de puntualidad.
Positivo,Estoy emocionado por las oportunidades futuras.
Negativo,La falta de consideración en la reunión fue evidente.
Positivo,Hoy disfruté de un delicioso postre casero.
Negativo,La falta de respeto en la conversación me enfurece.
Positivo,Tuve una experiencia positiva en el nuevo restaurante.
Negativo,No soporto la incompetencia en el servicio al cliente.
Positivo,La ayuda desinteresada de un extraño fue conmovedora.
Negativo,La actitud negativa en el trabajo es desmoralizadora.
Positivo,Hoy logré superar un desafío personal.
Negativo,La falta de empatía en la conversación me molestó.
Positivo,Recibí un regalo significativo de un amigo.
Negativo,La falta de profesionalismo en la reunión fue evidente.
Positivo,La música en el concierto fue increíble.
Negativo,El mal servicio en el restaurante arruinó la cena.
Positivo,Disfruté de una tarde tranquila en el parque.
Negativo,No me gustó la actitud arrogante de ciertas personas.
Positivo,Hoy fue un día soleado perfecto para salir.
Negativo,La falta de honestidad en la relación es decepcionante.
Positivo,Recibí un cumplido inesperado que me hizo sonreír.
Negativo,La falta de cortesía en la atención al cliente es frustrante.
Positivo,La cena en familia siempre es agradable.
Negativo,No soporto la falta de compromiso en el trabajo.
Positivo,Tuve una conversación estimulante con un colega.
Negativo,La falta de ética en el proyecto es preocupante.
Positivo,Disfruté de una noche divertida con amigos.
Negativo,La falta de cortesía en la atención al cliente es frustrante.
Positivo,Recibí un cumplido inesperado que me hizo sonreír.
Negativo,La actitud condescendiente de ciertas personas me irrita.
Positivo,Hoy fue un día muy productivo en el trabajo.
Negativo,La falta de sinceridad en la comunicación es molesta.
Positivo,La visita sorpresa de un ser querido hizo mi día.
Negativo,No me gusta la falta de puntualidad.
Positivo,Estoy emocionado por las oportunidades futuras.
Negativo,La falta de consideración en la reunión fue evidente.
Positivo,Hoy disfruté de un delicioso postre casero.
Negativo,La falta de respeto en la conversación me enfurece.
Positivo,Tuve una experiencia positiva en el nuevo restaurante.
Negativo,No soporto la incompetencia en el servicio al cliente.
Positivo,La ayuda desinteresada de un extraño fue conmovedora.
Negativo,La actitud negativa en el trabajo es desmoralizadora.
Positivo,Hoy logré superar un desafío personal.
Negativo,La falta de empatía en la conversación me molestó.
Positivo,Recibí un regalo significativo de un amigo.
Negativo,La falta de profesionalismo en la reunión fue evidente.
Positivo,La música en el concierto fue increíble.
Negativo,El mal servicio en el restaurante arruinó la cena.
Positivo,Disfruté de una tarde tranquila en el parque.
Negativo,No me gustó la actitud arrogante de ciertas personas.
Positivo,Hoy fue un día soleado perfecto para salir.
Negativo,Odio cuando la gente cancela planes en el último minuto.
Positivo,Me encanta pasar tiempo al aire libre en días soleados.
Negativo,La película que vi anoche fue aburrida y predecible.
Positivo,Disfruté mucho la cena en ese nuevo restaurante.
Negativo,El tráfico en esta ciudad siempre me pone de mal humor.
Positivo,Hoy logré completar todas mis tareas pendientes.
Negativo,El servicio al cliente de esa empresa es terrible.
Positivo,Me siento agradecido por tener amigos tan increíbles.
Negativo,La lluvia arruinó mis planes para el fin de semana.
Positivo,Recibí una buena noticia que alegró mi día.
Positivo,Hoy conocí a alguien realmente interesante.
Negativo,No soporto la actitud arrogante de mi jefe.
Positivo,Disfruté de una cena deliciosa con amigos cercanos.
Negativo,El tráfico en esta ciudad es simplemente insoportable.
Positivo,Logré completar todas mis tareas pendientes.
Negativo,No entiendo por qué la gente defiende tanto esa película.
Positivo,Me siento agradecido por las pequeñas alegrías de la vida.
Negativo,La espera en el consultorio del médico siempre es tediosa.
Positivo,Recibí una sorpresa encantadora de parte de mi familia.
Negativo,La cancelación del evento arruinó mis planes para el fin de semana.
Positivo,Logré superar un desafío que parecía imposible.
Negativo,La comida en ese restaurante siempre me decepciona.
Positivo,Me encanta la sensación de logro después de hacer ejercicio.
Negativo,El ruido constante en mi vecindario me enerva.
Positivo,Disfruté de una noche tranquila en casa.
Negativo,No puedo soportar la hipocresía de algunas personas.
Positivo,Me sentí inspirado después de ver una película motivadora.
Negativo,La actitud negativa de algunos compañeros de trabajo es agotadora.
Positivo,Recibí elogios por mi trabajo y me hizo sentir bien.
Negativo,No entiendo por qué las cosas siempre salen mal para mí.
Positivo,Hoy fue un día soleado y perfecto para salir.
Negativo,La falta de honestidad en algunas relaciones me duele.
Positivo,Logré alcanzar una meta personal importante.
Negativo,La mala calidad del servicio al cliente arruinó mi experiencia.
Positivo,Me alegra tener amigos que siempre están ahí para mí.
Negativo,El clima impredecible arruinó nuestro plan de picnic.
Positivo,Descubrí una nueva pasión que me llena de emoción.
Negativo,La incompetencia de algunas personas me frustra.
Positivo,Recibí una carta de agradecimiento que me hizo sonreír.
Negativo,La falta de compromiso en el trabajo me desanima.
Positivo,Hoy recibí una buena noticia que hizo mi día aún mejor.
Negativo,La constante falta de puntualidad de mi amigo me molesta.
Positivo,Disfruté de una tarde relajante leyendo mi libro favorito.
Negativo,El mal servicio en el restaurante arruinó nuestra cena.
Positivo,Logré resolver un problema que me tenía preocupado.
Negativo,La falta de consideración de algunos conductores es irritante.
Positivo,Recibí un regalo sorpresa que me llenó de gratitud.
Negativo,La falta de ética en el lugar de trabajo me decepciona.
Positivo,Disfruté de una caminata tranquila en la naturaleza.
Negativo,La cancelación del evento afectó mis planes para el fin de semana.
Positivo,Hoy me elogiaron en el trabajo, lo cual fue motivador.
Negativo,La actitud negativa de ciertas personas me agota.
Positivo,Me sentí agradecido por la amabilidad de un desconocido.
Negativo,La pérdida de un objeto importante me entristeció.
Positivo,Logré completar un proyecto importante antes de la fecha límite.
Negativo,La incompetencia del servicio al cliente me frustró.
Positivo,Recibí un mensaje alentador de un amigo cercano.
Negativo,La falta de empatía en algunas personas me decepciona.
Positivo,Disfruté de una cena deliciosa preparada en casa.
Negativo,La falta de honestidad en ciertas relaciones me duele.
Positivo,Logré superar un obstáculo que parecía insuperable.
Negativo,La actitud arrogante de algunas personas me irrita.
Positivo,Hoy me sentí lleno de energía y positividad.
Negativo,La crítica constante de ciertas personas me desanima.
Positivo,Recibí un cumplido que hizo que mi día fuera especial.
Negativo,La falta de compromiso en el trabajo me desmotiva.
Positivo,Disfruté de un día de descanso y relajación.
Negativo,La falta de respeto en algunas conversaciones me incomoda.
Positivo,Hoy tuve una conversación inspiradora que elevó mi ánimo.
Negativo,La falta de consideración en el tráfico me genera estrés.
Positivo,Disfruté de una deliciosa comida casera preparada con amor.
Negativo,La actitud negativa de algunos colegas afecta el ambiente laboral.
Positivo,Recibí un mensaje alentador que me recordó lo afortunado que soy.
Negativo,La falta de honestidad en ciertas situaciones me desilusiona.
Positivo,Hoy logré completar todas mis tareas pendientes, ¡qué alivio!
Negativo,La falta de puntualidad en las reuniones me irrita.
Positivo,Me sentí agradecido por el apoyo incondicional de mi familia.
Negativo,La cancelación de mis planes para el fin de semana me frustró.
Positivo,Recibí un regalo sorpresa que me llenó de felicidad.
Negativo,La falta de empatía en ciertos comentarios me duele.
Positivo,Disfruté de un día soleado en contacto con la naturaleza.
Negativo,La crítica constante de ciertas personas me hace sentir inseguro.
Positivo,Hoy pude resolver un problema que me tenía preocupado.
Negativo,La falta de compromiso en ciertos proyectos me desmotiva.
Positivo,Me sorprendieron con un gesto amable que aprecié mucho.
Negativo,La falta de respeto en algunas conversaciones me incomoda.
Positivo,Hoy logré superar un obstáculo que parecía insuperable.
Negativo,La incompetencia en ciertos servicios me genera insatisfacción.
Positivo,Recibí elogios por mi trabajo, ¡una gran motivación!
Negativo,La falta de ética en ciertas decisiones me decepciona.
Positivo,Hoy disfruté de un momento de paz y tranquilidad.
Negativo,La falta de apoyo en momentos difíciles me entristece.
Positivo,Me sentí lleno de optimismo y energía para enfrentar el día.
Negativo,La falta de comunicación en algunas relaciones me confunde.
Positivo,Recibí noticias positivas que alegraron mi jornada.
Negativo,La falta de solidaridad en ciertas situaciones me desanima.
Positivo,Hoy logré alcanzar una meta personal que me propuse.
Negativo,La falta de honestidad en ciertos negocios me genera desconfianza.
Positivo,Disfruté de un día relajado y libre de preocupaciones.
Negativo,La falta de ética en ciertos comportamientos me decepciona.
Positivo,Recibí un cumplido inesperado que iluminó mi día.
Negativo,La falta de compromiso en ciertos proyectos afecta el resultado.
Positivo,Hoy compartí risas y momentos especiales con amigos cercanos.
Negativo,La falta de empatía en ciertas situaciones me molesta.
Positivo,Me sentí agradecido por la salud y bienestar de mis seres queridos.
Negativo,La falta de consideración en algunas conversaciones me incomoda.
Positivo,Recibí apoyo incondicional en un momento difícil, ¡gracias!
Negativo,La falta de cortesía en ciertos lugares me hace sentir incómodo.
Positivo,Hoy tomé un tiempo para cuidar de mí mismo y relajarme.
Negativo,La falta de respeto en ciertas relaciones me entristece.
Positivo,Disfruté de una comida deliciosa que elevó mi ánimo.
Negativo,La falta de justicia en ciertas situaciones me indigna.
Positivo,Recibí buenas noticias que llenaron mi corazón de alegría.
Negativo,La falta de profesionalismo en ciertas interacciones me frustra.
Positivo,Hoy expresé gratitud a las personas que tienen un impacto positivo en mi vida.
Negativo,La falta de solidaridad en ciertas comunidades me preocupa.
Positivo,Me sentí inspirado por la creatividad de un proyecto artístico.
Negativo,La falta de compromiso en ciertas relaciones me desanima.
Positivo,Recibí un regalo significativo que aprecio mucho.
Negativo,La falta de transparencia en ciertos asuntos me genera desconfianza.
Positivo,Hoy me conecté con la naturaleza y disfruté de la serenidad.
